Page,Title,Brand,Reference,Category,Subcategory,Availability,PriceHT,PriceTTC,SalePriceHT,SalePriceTTC,DiscountPercentage,ID,dateDebutPromo,dateFinPromo,product url,EAN
2,Maison Garden House - Smoby Life,Smoby,982846,Jeux d'extérieur,Cabanes et maisonnettes,Available in central stock,262.49,314.99,249.99,299.99,5.0,320464,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/cabanes/ref-982846-maison-garden-house---smoby-life.htm,3032168104082.0
2,Siège de balançoire en plastique,SUN and SPORT,867822,Jeux d'extérieur,Balançoires et portiques,Available in central stock,12.49,14.99,10.83,12.99,13.0,239300,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/balancoires/ref-867822-siege-de-balancoire-en-plastique.htm,8053735010853.0
2,Balançoire en métal bébé,SUN and SPORT,867824,Jeux d'extérieur,Balançoires et portiques,Available in central stock,66.66,79.99,58.33,69.99,13.0,239301,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/balancoires/ref-867824-balancoire-en-metal-bebe.htm,8053735010884.0
2,Trottinette 3 roues licorne,SUN and SPORT,803783,Jeux Sportifs,Trottinettes,Available in central stock,22.49,26.99,19.16,22.99,15.0,224797,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trottinettes/ref-803783-trottinette-3-roues-licorne.htm,8053735002674.0
2,Trottinette évolutive Go-Up Baby 360 light vert sauge,Globber,960019,Jeux Sportifs,Trottinettes,Available in central stock,124.99,149.99,112.49,134.99,10.0,298257,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trottinettes/ref-960019-trottinette-evolutive-go-up-baby-360-light-vert-sauge.htm,4895224410690.0
2,Trottinette 3 roues Spidey and His Amazing Friends,Smoby,923954,Jeux Sportifs,Trottinettes,Available in central stock,27.49,32.99,20.83,24.99,24.0,249616,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trottinettes/ref-923954-trottinette-3-roues-spidey-and-his-amazing-friends.htm,3032167509185.0
2,Trottinette 3 roues Corolle,Smoby,807350,Jeux Sportifs,Trottinettes,Available in central stock,27.49,32.99,20.83,24.99,24.0,223705,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trottinettes/ref-807350-trottinette-3-roues-corolle.htm,3032167501790.0
2,Mon bébé singe Mango Little Live Pets,Moose Toys,971339,Peluches,Peluches interactives,Available in central stock,29.99,35.99,29.16,34.99,3.0,309114,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/peluches/peluches/ref-971339-mon-bebe-singe-mango-little-live-pets.htm,630996265581.0
2,77244 - LEGO® Speed Champions - Voiture F1® Mercedes-AMG W15,LEGO,980672,Jeux de construction,"Lego, briques et blocs",Available in central stock,22.49,26.99,20.83,24.99,7.0,317996,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-de-construction/lego/ref-980672-77244---lego®-speed-champions---voiture-f1®-mercedes-amg-w15.htm,5702017816111.0
2,Baladeur musical - Music'Kid rose,VTech,958543,Jeux d'éveil,Activités d'éveil,Available in central stock,30.83,36.99,23.12,27.74,25.0,296678,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-deveil/activites/ref-958543-baladeur-musical---musickid-rose.htm,3417766155559.0
2,Brouette jardin garnie Deluxe,Ecoiffier,958480,Jeux d'extérieur,Jeux et outils de jardinage,Available in central stock,24.99,29.99,16.66,19.99,33.0,296556,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/jeux/ref-958480-brouette-jardin-garnie-deluxe.htm,3280250045397.0
2,10343 - LEGO® Botanique - L’orchidée miniature,LEGO,980622,Jeux de construction,"Lego, briques et blocs",Available in central stock,24.99,29.99,22.49,26.99,10.0,317886,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-de-construction/lego/ref-980622-10343---lego®-botanique---lorchidee-miniature.htm,5702017814643.0
2,Trottinette Pat'Patrouille ajustable 3 roues,STAMP,955754,Jeux Sportifs,Trottinettes,Available in central stock,24.99,29.99,20.83,24.99,17.0,295005,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trottinettes/ref-955754-trottinette-patpatrouille-ajustable-3-roues.htm,3496274500501.0
2,Maison Smoby 4 saisons et station météo,Smoby,958127,Jeux d'extérieur,Cabanes et maisonnettes,Available in central stock,129.16,154.99,120.83,144.99,6.0,294819,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/cabanes/ref-958127-maison-smoby-4-saisons-et-station-meteo.htm,3032168107311.0
2,60443 - LEGO® City - Arrêt au stand de F1® avec voiture Ferrari,LEGO,980627,Jeux de construction,"Lego, briques et blocs",Available in central stock,24.99,29.99,22.49,26.99,10.0,317873,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-de-construction/lego/ref-980627-60443---lego®-city---arret-au-stand-de-f1®-avec-voiture-ferrari.htm,5702017812496.0
2,Tondeuse Bosch Rotak,Klein,925649,Jeux d'extérieur,Jeux et outils de jardinage,Available in central stock,27.49,32.99,23.33,27.99,15.0,251485,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/jeux/ref-925649-tondeuse-bosch-rotak.htm,4009847027801.0
2,77248 - LEGO® Speed Champions - Voiture F1® BWT Alpine Team A524,LEGO,980671,Jeux de construction,"Lego, briques et blocs",Available in central stock,22.49,26.99,20.83,24.99,7.0,317979,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-de-construction/lego/ref-980671-77248---lego®-speed-champions---voiture-f1®-bwt-alpine-team-a524.htm,5702017816159.0
2,Toboggan en plastique rose,SUN and SPORT,903969,Jeux d'extérieur,Toboggans,Available in central stock,33.33,39.99,24.99,29.99,25.0,251701,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/toboggans/ref-903969-toboggan-en-plastique-rose.htm,8001478502876.0
